Category,Ethnicity,Academic Yr,FilteredCountFR,Perc FR
Applicants,International,2019,16522,0.2116
Applicants,Unknown,2019,1959,0.0251
Applicants,White,2019,14360,0.1839
Applicants,Asian,2019,24024,0.3076
Applicants,Chicano/Latino,2019,17526,0.2244
Applicants,American Indian,2019,277,0.0035
Applicants,African American,2019,3425,0.0439
Applicants,All,2019,78093,1
Applicants,International,2018,15507,0.1987
Applicants,Unknown,2018,2208,0.0283
Applicants,White,2018,14797,0.1896
Applicants,Asian,2018,23902,0.3063
Applicants,Chicano/Latino,2018,17741,0.2274
Applicants,American Indian,2018,334,0.0043
Applicants,African American,2018,3535,0.0453
Applicants,All,2018,78024,1
Applicants,International,2017,13926,0.1963
Applicants,Unknown,2017,1824,0.0257
Applicants,White,2017,14399,0.2029
Applicants,Asian,2017,21262,0.2997
Applicants,Chicano/Latino,2017,15972,0.2251
Applicants,American Indian,2017,332,0.0047
Applicants,African American,2017,3240,0.0457
Applicants,All,2017,70955,1
Applicants,International,2016,13536,0.1975
Applicants,Unknown,2016,1865,0.0272
Applicants,White,2016,14295,0.2085
Applicants,Asian,2016,20503,0.2991
Applicants,Chicano/Latino,2016,14876,0.217
Applicants,American Indian,2016,313,0.0046
Applicants,African American,2016,3162,0.0461
Applicants,All,2016,68550,1
Applicants,International,2015,11240,0.174
Applicants,Unknown,2015,1880,0.0291
Applicants,White,2015,14005,0.2168
Applicants,Asian,2015,20666,0.3199
Applicants,Chicano/Latino,2015,13675,0.2117
Applicants,American Indian,2015,319,0.0049
Applicants,African American,2015,2817,0.0436
Applicants,All,2015,64602,1
Applicants,International,2014,9413,0.1555
Applicants,Unknown,2014,1575,0.026
Applicants,White,2014,14061,0.2322
Applicants,Asian,2014,20130,0.3325
Applicants,Chicano/Latino,2014,12438,0.2054
Applicants,American Indian,2014,376,0.0062
Applicants,African American,2014,2550,0.0421
Applicants,All,2014,60543,1
Applicants,International,2013,6699,0.1199
Applicants,Unknown,2013,1630,0.0292
Applicants,White,2013,13989,0.2503
Applicants,Asian,2013,19281,0.345
Applicants,Chicano/Latino,2013,11529,0.2063
Applicants,American Indian,2013,317,0.0057
Applicants,African American,2013,2449,0.0438
Applicants,All,2013,55894,1
Applicants,International,2012,4138,0.0831
Applicants,Unknown,2012,1317,0.0264
Applicants,White,2012,13242,0.2658
Applicants,Asian,2012,18310,0.3675
Applicants,Chicano/Latino,2012,10216,0.2051
Applicants,American Indian,2012,319,0.0064
Applicants,African American,2012,2278,0.0457
Applicants,All,2012,49820,1
Applicants,International,2011,2066,0.0447
Applicants,Unknown,2011,1125,0.0243
Applicants,White,2011,14010,0.3031
Applicants,Asian,2011,17317,0.3747
Applicants,Chicano/Latino,2011,9363,0.2026
Applicants,American Indian,2011,303,0.0066
Applicants,African American,2011,2031,0.0439
Applicants,All,2011,46215,1
Applicants,International,2010,1634,0.0377
Applicants,Unknown,2010,2356,0.0544
Applicants,White,2010,13533,0.3124
Applicants,Asian,2010,15772,0.3641
Applicants,Chicano/Latino,2010,7746,0.1788
Applicants,American Indian,2010,355,0.0082
Applicants,African American,2010,1917,0.0443
Applicants,All,2010,43313,1
Admits,International,2019,6888,0.2269
Admits,Unknown,2019,842,0.0277
Admits,White,2019,6225,0.2051
Admits,Asian,2019,9717,0.3201
Admits,Chicano/Latino,2019,5604,0.1846
Admits,American Indian,2019,120,0.004
Admits,African American,2019,962,0.0317
Admits,All,2019,30358,1
Admits,International,2018,8646,0.2698
Admits,Unknown,2018,966,0.0301
Admits,White,2018,6335,0.1977
Admits,Asian,2018,9378,0.2926
Admits,Chicano/Latino,2018,5616,0.1752
Admits,American Indian,2018,134,0.0042
Admits,African American,2018,971,0.0303
Admits,All,2018,32046,1
Admits,International,2017,8295,0.2697
Admits,Unknown,2017,863,0.0281
Admits,White,2017,6417,0.2086
Admits,Asian,2017,8915,0.2898
Admits,Chicano/Latino,2017,5234,0.1701
Admits,American Indian,2017,143,0.0046
Admits,African American,2017,895,0.0291
Admits,All,2017,30762,1
Admits,International,2016,6680,0.2305
Admits,Unknown,2016,911,0.0314
Admits,White,2016,6647,0.2294
Admits,Asian,2016,8847,0.3053
Admits,Chicano/Latino,2016,4902,0.1691
Admits,American Indian,2016,133,0.0046
Admits,African American,2016,861,0.0297
Admits,All,2016,28981,1
Admits,International,2015,5666,0.2311
Admits,Unknown,2015,764,0.0312
Admits,White,2015,5632,0.2297
Admits,Asian,2015,7864,0.3207
Admits,Chicano/Latino,2015,3812,0.1555
Admits,American Indian,2015,123,0.005
Admits,African American,2015,657,0.0268
Admits,All,2015,24518,1
Admits,International,2014,4210,0.1723
Admits,Unknown,2014,774,0.0317
Admits,White,2014,6196,0.2535
Admits,Asian,2014,8534,0.3492
Admits,Chicano/Latino,2014,3972,0.1625
Admits,American Indian,2014,150,0.0061
Admits,African American,2014,604,0.0247
Admits,All,2014,24440,1
Admits,International,2013,3193,0.1384
Admits,Unknown,2013,809,0.0351
Admits,White,2013,6518,0.2826
Admits,Asian,2013,8275,0.3588
Admits,Chicano/Latino,2013,3555,0.1541
Admits,American Indian,2013,128,0.0055
Admits,African American,2013,587,0.0254
Admits,All,2013,23065,1
Admits,International,2012,2146,0.0953
Admits,Unknown,2012,709,0.0315
Admits,White,2012,6715,0.2981
Admits,Asian,2012,8757,0.3888
Admits,Chicano/Latino,2012,3493,0.1551
Admits,American Indian,2012,122,0.0054
Admits,African American,2012,584,0.0259
Admits,All,2012,22526,1
Admits,International,2011,1477,0.0662
Admits,Unknown,2011,593,0.0266
Admits,White,2011,6803,0.305
Admits,Asian,2011,8782,0.3938
Admits,Chicano/Latino,2011,3869,0.1735
Admits,American Indian,2011,143,0.0064
Admits,African American,2011,636,0.0285
Admits,All,2011,22303,1
Admits,International,2010,765,0.0382
Admits,Unknown,2010,1186,0.0592
Admits,White,2010,6437,0.3212
Admits,Asian,2010,7621,0.3802
Admits,Chicano/Latino,2010,3298,0.1645
Admits,American Indian,2010,173,0.0086
Admits,African American,2010,563,0.0281
Admits,All,2010,20043,1
Enrollees,International,2019,779,0.1308
Enrollees,Unknown,2019,127,0.0213
Enrollees,White,2019,1230,0.2065
Enrollees,Asian,2019,2125,0.3567
Enrollees,Chicano/Latino,2019,1465,0.2459
Enrollees,American Indian,2019,22,0.0037
Enrollees,African American,2019,209,0.0351
Enrollees,All,2019,5957,1
Enrollees,International,2018,1230,0.1924
Enrollees,Unknown,2018,139,0.0217
Enrollees,White,2018,1231,0.1926
Enrollees,Asian,2018,1995,0.3121
Enrollees,Chicano/Latino,2018,1549,0.2423
Enrollees,American Indian,2018,28,0.0044
Enrollees,African American,2018,221,0.0346
Enrollees,All,2018,6393,1
Enrollees,International,2017,1293,0.2203
Enrollees,Unknown,2017,118,0.0201
Enrollees,White,2017,1168,0.199
Enrollees,Asian,2017,1660,0.2829
Enrollees,Chicano/Latino,2017,1415,0.2411
Enrollees,American Indian,2017,24,0.0041
Enrollees,African American,2017,190,0.0324
Enrollees,All,2017,5868,1
Enrollees,International,2016,870,0.151
Enrollees,Unknown,2016,138,0.024
Enrollees,White,2016,1354,0.235
Enrollees,Asian,2016,1808,0.3138
Enrollees,Chicano/Latino,2016,1393,0.2418
Enrollees,American Indian,2016,23,0.004
Enrollees,African American,2016,176,0.0305
Enrollees,All,2016,5762,1
Enrollees,International,2015,952,0.1773
Enrollees,Unknown,2015,140,0.0261
Enrollees,White,2015,1232,0.2295
Enrollees,Asian,2015,1726,0.3215
Enrollees,Chicano/Latino,2015,1120,0.2086
Enrollees,American Indian,2015,29,0.0054
Enrollees,African American,2015,170,0.0317
Enrollees,All,2015,5369,1
Enrollees,International,2014,597,0.111
Enrollees,Unknown,2014,144,0.0268
Enrollees,White,2014,1324,0.2462
Enrollees,Asian,2014,1964,0.3653
Enrollees,Chicano/Latino,2014,1153,0.2144
Enrollees,American Indian,2014,40,0.0074
Enrollees,African American,2014,155,0.0288
Enrollees,All,2014,5377,1
Enrollees,International,2013,503,0.0984
Enrollees,Unknown,2013,150,0.0293
Enrollees,White,2013,1410,0.2758
Enrollees,Asian,2013,1907,0.373
Enrollees,Chicano/Latino,2013,959,0.1876
Enrollees,American Indian,2013,36,0.007
Enrollees,African American,2013,148,0.0289
Enrollees,All,2013,5113,1
Enrollees,International,2012,281,0.054
Enrollees,Unknown,2012,135,0.0259
Enrollees,White,2012,1530,0.2938
Enrollees,Asian,2012,2163,0.4153
Enrollees,Chicano/Latino,2012,906,0.174
Enrollees,American Indian,2012,34,0.0065
Enrollees,African American,2012,159,0.0305
Enrollees,All,2012,5208,1
Enrollees,International,2011,185,0.0393
Enrollees,Unknown,2011,89,0.0189
Enrollees,White,2011,1332,0.2831
Enrollees,Asian,2011,2079,0.4419
Enrollees,Chicano/Latino,2011,856,0.1819
Enrollees,American Indian,2011,34,0.0072
Enrollees,African American,2011,130,0.0276
Enrollees,All,2011,4705,1
Enrollees,International,2010,64,0.0142
Enrollees,Unknown,2010,225,0.05
Enrollees,White,2010,1356,0.3013
Enrollees,Asian,2010,1848,0.4106
Enrollees,Chicano/Latino,2010,821,0.1824
Enrollees,American Indian,2010,45,0.01
Enrollees,African American,2010,142,0.0315
Enrollees,All,2010,4501,1
,,,,
,,,,
